family,variant_key,mode,lag_hours,hold_hours,estimate_age_hours,phase_hours,aggregate,c_value,risk_e,p_mission,risk_utilization,pass_count,gain_fixed_over_strategy,mean_tau_seconds,min_tau_seconds,max_tau_seconds,saturated_at_tau_min,saturated_at_tau_max,max_q_per_pass,max_hourly_risk_contribution_e,max_hourly_budget_fraction,verdict,note
session,session_U6_A1_P3,reoptimized,,6,1,3,raw,0.0956769466738,0.0100463661403,0.00999606997615,0.999605016864,5152320,6.12409167132,49.6822289157,1,120,true,false,1.02520566825e-05,0.000843048089497,0.0838825788297,pass,
session,session_U6_A1_P4,reoptimized,,6,1,4,raw,0.0868532907108,0.0100497277883,0.00999939801523,0.999939498018,5917440,5.33225178456,42.3685195327,1,120,true,false,1.02520566825e-05,0.000843048089497,0.0838825788297,pass,
session,session_U6_A1_P5,reoptimized,,6,1,5,raw,0.102763714589,0.00991323603958,0.0098642618796,0.98635868334,4585800,6.88064895983,56.6430722892,1,120,true,false,1.6454089712e-05,0.000987245382719,0.0982300887363,pass,
session,session_U6_A1_worst_phase,reoptimized,,6,1,1,worst_phase,0.091625904616,0.0100501872719,0.00999985290419,0.999985216253,5472960,5.76530433257,46.0016429354,1,120,true,false,1.85135397007e-05,0.00111081238204,0.110524901678,pass,worst phase selected by risk_utilization; phase=1
session,session_U6_A1_median_phase,reoptimized,,6,1,,median_phase,0.0936514256449,0.0100469431613,0.00999664122888,0.99966242997,5312640,5.94469800195,47.8419359255,1,120,true,false,1.74838147063e-05,0.00104902888238,0.104377495207,pass,median across phases; verdict requires all phases to pass
session,session_U6_A1_P0,frozen_1h,,6,1,0,raw,0.173482454693,0.018903109024,0.0187255657254,1.88084351603,2631420,11.9909706546,85.4027929901,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U6_A1_P1,frozen_1h,,6,1,1,raw,0.173482454693,0.0197183771864,0.0195252415109,1.96196201538,2657250,11.8744115157,85.3484392114,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U6_A1_P2,frozen_1h,,6,1,2,raw,0.173482454693,0.0229592044097,0.0226976474135,2.28442160982,2661120,11.8571428571,85.2964129244,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U6_A1_P3,frozen_1h,,6,1,3,raw,0.173482454693,0.0177100311006,0.0175541301931,1.76213326189,2668230,11.8255472729,85.2157721796,1,120,true,false,4.10075105946e-05,0.0016860755003,0.167763100146,fail,
session,session_U6_A1_P4,frozen_1h,,6,1,4,raw,0.173482454693,0.0204031764642,0.020196440073,2.03009896999,2650680,11.903843542,85.3472070099,1,120,true,false,4.10075105946e-05,0.0016860755003,0.167763100146,fail,
session,session_U6_A1_P5,frozen_1h,,6,1,5,raw,0.173482454693,0.0174378444452,0.0172866851419,1.73505091764,2628630,12.0036977437,85.4463307777,1,120,true,false,6.58145605785e-05,0.00197443681735,0.196454809683,fail,
session,session_U6_A1_worst_phase,frozen_1h,,6,1,2,worst_phase,0.173482454693,0.0229592044097,0.0226976474135,2.28442160982,2661120,11.8571428571,85.2964129244,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,worst phase selected by risk_utilization; phase=2
session,session_U6_A1_median_phase,frozen_1h,,6,1,,median_phase,0.173482454693,0.0193107431052,0.0191254036182,1.92140276571,2653965,11.8891275288,85.3478231106,1,120,true,false,6.99332276965e-05,0.0020979968309,0.208748927546,fail,median across phases; verdict requires all phases to pass
session,session_U12_A1_P0,reoptimized,,12,1,0,raw,0.0535941679597,0.00963782223338,0.00959152727159,0.958955240289,9205200,3.42776691435,29.1141840088,1,60,true,false,1.85135397007e-05,0.00111081238204,0.110524901678,pass,
session,session_U12_A1_P1,reoptimized,,12,1,1,raw,0.0522626252855,0.00800423491732,0.00797228632718,0.796414670513,9394140,3.3588258212,28.0084428624,1,60,true,false,5.8757336764e-06,0.000705088041168,0.0701556695663,pass,
session,session_U12_A1_P2,reoptimized,,12,1,2,raw,0.0522626252855,0.00964124921025,0.0095949213727,0.959296221617,9350520,3.37449468051,28.1321650237,1,60,true,false,1.02520566825e-05,0.000843048089497,0.0838825788297,pass,
session,session_U12_A1_P3,reoptimized,,12,1,3,raw,0.0851656146733,0.0100501685593,0.00999983437873,0.999983354367,6002100,5.25704003599,41.7695783133,1,120,true,false,1.02520566825e-05,0.000843048089497,0.0838825788297,pass,
session,session_U12_A1_P4,reoptimized,,12,1,4,raw,0.0762589077204,0.0100491503213,0.00999882632244,0.999882040541,6792960,4.64499717354,39.0433552391,1,60,true,false,1.02520566825e-05,0.000843048089497,0.0838825788297,pass,
session,session_U12_A1_P5,reoptimized,,12,1,5,raw,0.0530046491738,0.0094673783578,0.00942270382604,0.94199621742,9329820,3.38198164595,28.5052482658,1,60,true,false,1.02520566825e-05,0.000843048089497,0.0838825788297,pass,
session,session_U12_A1_P6,reoptimized,,12,1,6,raw,0.049276990729,0.00945745072906,0.00941286969359,0.941008426675,9996120,3.15655274246,25.1801752464,1,60,true,false,7.0254007458e-06,0.000843048089497,0.0838825788297,pass,
session,session_U12_A1_P7,reoptimized,,12,1,7,raw,0.0500247403882,0.00684433085735,0.00682096177055,0.681005187997,9853440,3.20226032736,25.8420956553,1,60,true,false,4.62842354348e-06,0.000555410825218,0.0552629119379,pass,
session,session_U12_A1_P8,reoptimized,,12,1,8,raw,0.0496027889216,0.00722691190714,0.00720086057396,0.71907168203,10048800,3.14000477669,25.3156261409,1,60,true,false,4.62842354348e-06,0.000555410825218,0.0552629119379,pass,
session,session_U12_A1_P9,reoptimized,,12,1,9,raw,0.0478384733369,0.00776827224811,0.00773817720052,0.772936582553,10391040,3.03658536585,23.4841182913,1,60,true,false,4.62842354348e-06,0.000555410825218,0.0552629119379,pass,
session,session_U12_A1_P10,reoptimized,,12,1,10,raw,0.0504568632602,0.00829252897351,0.00825824079915,0.825099687651,9893040,3.18944227457,25.9579225995,1,60,true,false,4.62842354348e-06,0.000555410825218,0.0552629119379,pass,
session,session_U12_A1_P11,reoptimized,,12,1,11,raw,0.0550731110638,0.00956212678982,0.00951655502544,0.951423607051,9043680,3.48898678414,30.0683643666,1,60,true,false,1.85135397007e-05,0.00111081238204,0.110524901678,pass,
session,session_U12_A1_worst_phase,reoptimized,,12,1,3,worst_phase,0.0851656146733,0.0100501685593,0.00999983437873,0.999983354367,6002100,5.25704003599,41.7695783133,1,120,true,false,1.02520566825e-05,0.000843048089497,0.0838825788297,pass,worst phase selected by risk_utilization; phase=3
session,session_U12_A1_median_phase,reoptimized,,12,1,,median_phase,0.0522626252855,0.00946241454343,0.00941778675981,0.941502322048,9372330,3.36666025086,28.070303943,1,60,true,false,8.63872871417e-06,0.000843048089497,0.0838825788297,pass,median across phases; verdict requires all phases to pass
session,session_U12_A1_P0,frozen_1h,,12,1,0,raw,0.173482454693,0.0257507989666,0.0254220748239,2.5621829302,2612160,12.0793825799,85.3116100767,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U12_A1_P1,frozen_1h,,12,1,1,raw,0.173482454693,0.0269450186299,0.0265852402698,2.68100678651,2618730,12.0490772245,85.5099945235,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U12_A1_P2,frozen_1h,,12,1,2,raw,0.173482454693,0.0290695782755,0.0286511226645,2.89239869187,2605140,12.1119325641,85.5169769989,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U12_A1_P3,frozen_1h,,12,1,3,raw,0.173482454693,0.0208004838612,0.0205856459526,2.06963072323,2628630,12.0036977437,85.4738499452,1,120,true,false,4.10075105946e-05,0.0016860755003,0.167763100146,fail,
session,session_U12_A1_P4,frozen_1h,,12,1,4,raw,0.173482454693,0.0218590458671,0.0216218682263,2.17495675624,2649240,11.9103139013,85.5172508215,1,120,true,false,4.10075105946e-05,0.0016860755003,0.167763100146,fail,
session,session_U12_A1_P5,frozen_1h,,12,1,5,raw,0.173482454693,0.0238931751715,0.023609993118,2.3773509184,2638890,11.9570273865,85.5543537788,1,120,true,false,6.58145605785e-05,0.00197443681735,0.196454809683,fail,
session,session_U12_A1_P6,frozen_1h,,12,1,6,raw,0.173482454693,0.0269293904224,0.026570027423,2.67945179295,2651220,11.9014189694,85.4816538883,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U12_A1_P7,frozen_1h,,12,1,7,raw,0.173482454693,0.0276702298159,0.0272909156293,2.75316469213,2696310,11.7023932708,85.1745618839,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U12_A1_P8,frozen_1h,,12,1,8,raw,0.173482454693,0.0300603870639,0.0296130670386,2.99098333648,2717640,11.610544443,85.0635268346,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U12_A1_P9,frozen_1h,,12,1,9,raw,0.173482454693,0.0327711214801,0.0322399662731,3.26069914058,2708370,11.6502841192,84.9453723987,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U12_A1_P10,frozen_1h,,12,1,10,raw,0.173482454693,0.0346255377671,0.0340329332742,3.44521200802,2652660,11.8949582683,85.1648411829,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U12_A1_P11,frozen_1h,,12,1,11,raw,0.173482454693,0.0264007148208,0.0260552626869,2.62684901337,2618910,12.0482490807,85.3259857612,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U12_A1_worst_phase,frozen_1h,,12,1,10,worst_phase,0.173482454693,0.0346255377671,0.0340329332742,3.44521200802,2652660,11.8949582683,85.1648411829,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,worst phase selected by risk_utilization; phase=10
session,session_U12_A1_median_phase,frozen_1h,,12,1,,median_phase,0.173482454693,0.0269372045262,0.0265776338464,2.68022928973,2644065,11.9336706439,85.3999178532,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,median across phases; verdict requires all phases to pass
session,session_U24_A1_P0,reoptimized,,24,1,0,raw,0.0497374720866,0.00939430436411,0.00935031574214,0.934725416249,9815040,3.21478873239,25.3981380066,1,60,true,false,4.62842354348e-06,0.000555410825218,0.0552629119379,pass,
session,session_U24_A1_P1,reoptimized,,24,1,1,raw,0.04911812156,0.00964244746222,0.00959610812683,0.959415446685,9946320,3.17235721352,24.6841000365,1,60,true,false,4.62842354348e-06,0.000555410825218,0.0552629119379,pass,
session,session_U24_A1_P2,reoptimized,,24,1,2,raw,0.0418116392244,0.0100494384407,0.00999911156092,0.999910708177,11501760,2.74334362741,19.5281124498,1,60,true,false,4.62842354348e-06,0.000784243132649,0.0780315348741,pass,
session,session_U24_A1_P3,reoptimized,,24,1,3,raw,0.0493977323639,0.00893463138819,0.00889483617588,0.888988340134,10159920,3.10566224931,24.5440854326,1,60,true,false,2.76819958185e-06,0.000996551849466,0.0991560743832,pass,
session,session_U24_A1_P4,reoptimized,,24,1,4,raw,0.0475979179903,0.00920578625789,0.00916354273524,0.91596802257,10543200,2.99276121102,22.9384811975,1,60,true,false,2.76819958185e-06,0.000996551849466,0.0991560743832,pass,
session,session_U24_A1_P5,reoptimized,,24,1,5,raw,0.0466708268123,0.0100322372539,0.00998208222428,0.9981992045,10730640,2.94048444454,22.3082329317,1,60,true,false,4.11355324345e-06,0.000996551849466,0.0991560743832,pass,
session,session_U24_A1_P6,reoptimized,,24,1,6,raw,0.0336606460219,0.0100502502064,0.00999991520938,0.999991478187,14133600,2.23250127356,16.8762322015,1,30,true,false,4.62842354348e-06,0.000996551849466,0.0991560743832,pass,
session,session_U24_A1_P7,reoptimized,,24,1,7,raw,0.0280409598336,0.0100008379287,0.0099509958417,0.995074997943,17037720,1.85196610814,13.9975584155,1,30,true,false,4.62842354348e-06,0.000996551849466,0.0991560743832,pass,
session,session_U24_A1_P8,reoptimized,,24,1,8,raw,0.0269370364602,0.00907721171595,0.00903613820129,0.903174963331,17804160,1.77224199288,13.1014968967,1,30,true,false,2.76819958185e-06,0.000996551849466,0.0991560743832,pass,
session,session_U24_A1_P9,reoptimized,,24,1,9,raw,0.026836972403,0.00981802099674,0.00976998157449,0.976884866322,17697960,1.78287667053,13.0789293538,1,30,true,false,2.76819958185e-06,0.000996551849466,0.0991560743832,pass,
session,session_U24_A1_P10,reoptimized,,24,1,10,raw,0.0272545024569,0.00953822115848,0.00949287661034,0.949045016755,17269200,1.82714196373,13.5591000365,1,30,true,false,2.76819958185e-06,0.000996551849466,0.0991560743832,pass,
session,session_U24_A1_P11,reoptimized,,24,1,11,raw,0.0535531625067,0.00806991981641,0.00803744542744,0.80295026296,9389220,3.36058586336,28.6035505659,1,60,true,false,4.62842354348e-06,0.000555410825218,0.0552629119379,pass,
session,session_U24_A1_P12,reoptimized,,24,1,12,raw,0.05337277928,0.00767523831594,0.00764585888709,0.76367978422,9362160,3.37029916173,28.8795180723,1,60,true,false,4.62842354348e-06,0.000555410825218,0.0552629119379,pass,
session,session_U24_A1_P13,reoptimized,,24,1,13,raw,0.0533697346915,0.00793704593687,0.00790563075728,0.789729423231,9310620,3.38895583753,29.2573475721,1,60,true,false,4.62842354348e-06,0.000555410825218,0.0552629119379,pass,
session,session_U24_A1_P14,reoptimized,,24,1,14,raw,0.0533697346915,0.00906354255762,0.00902259246679,0.901814893525,9214440,3.42432963913,29.3514968967,1,60,true,false,1.02520566825e-05,0.000615123400952,0.0612042632125,pass,
session,session_U24_A1_P15,reoptimized,,24,1,15,raw,0.0533043460867,0.0090900282914,0.00904883888301,0.904450201854,9144180,3.45064073542,29.4916484118,1,60,true,false,1.02520566825e-05,0.000615123400952,0.0612042632125,pass,
session,session_U24_A1_P16,reoptimized,,24,1,16,raw,0.0531438939382,0.00937903019125,0.00933518427206,0.933205648843,9158880,3.44510245794,29.7227090179,1,60,true,false,1.02520566825e-05,0.000615123400952,0.0612042632125,pass,
session,session_U24_A1_P17,reoptimized,,24,1,17,raw,0.0530046491738,0.00933339347366,0.00928997254998,0.928664833664,9121740,3.45912950819,29.458150785,1,60,true,false,1.02520566825e-05,0.000615123400952,0.0612042632125,pass,
session,session_U24_A1_P18,reoptimized,,24,1,18,raw,0.0527511543332,0.00934491550169,0.00930138747293,0.929811265803,9185400,3.43515579071,29.302026287,1,60,true,false,1.02520566825e-05,0.000615123400952,0.0612042632125,pass,
session,session_U24_A1_P19,reoptimized,,24,1,19,raw,0.0526073878203,0.00836414871768,0.00832926654676,0.832225792212,9142800,3.45116156976,29.3390836072,1,60,true,false,4.62842354348e-06,0.000555410825218,0.0552629119379,pass,
session,session_U24_A1_P20,reoptimized,,24,1,20,raw,0.0525013925013,0.00870321482665,0.00866545148605,0.865962586078,9265200,3.40556922678,28.9437751004,1,60,true,false,6.34302605655e-06,0.000555410825218,0.0552629119379,pass,
session,session_U24_A1_P21,reoptimized,,24,1,21,raw,0.0526098052703,0.00900615329214,0.00896571936933,0.896104709675,9280080,3.40010861975,28.7357612267,1,60,true,false,4.62842354348e-06,0.000555410825218,0.0552629119379,pass,
session,session_U24_A1_P22,reoptimized,,24,1,22,raw,0.053449148795,0.00992437484705,0.00987529074953,0.987466985354,9208320,3.42660550459,29.118656444,1,60,true,false,1.02520566825e-05,0.000615123400952,0.0612042632125,pass,
session,session_U24_A1_P23,reoptimized,,24,1,23,raw,0.0517089731317,0.00939198288876,0.00934801597065,0.934494431397,9512400,3.31706824776,27.4111902154,1,60,true,false,4.62842354348e-06,0.000555410825218,0.0552629119379,pass,
session,session_U24_A1_worst_phase,reoptimized,,24,1,6,worst_phase,0.0336606460219,0.0100502502064,0.00999991520938,0.999991478187,14133600,2.23250127356,16.8762322015,1,30,true,false,4.62842354348e-06,0.000996551849466,0.0991560743832,pass,worst phase selected by risk_utilization; phase=6
session,session_U24_A1_median_phase,reoptimized,,24,1,,median_phase,0.0521051828165,0.00933915448768,0.00929568001146,0.929238049734,9450810,3.33882705556,28.0073703907,1,60,true,false,4.62842354348e-06,0.000615123400952,0.0612042632125,pass,median across phases; verdict requires all phases to pass
session,session_U24_A1_P0,frozen_1h,,24,1,0,raw,0.173482454693,0.0399461035267,0.0391587762899,3.97460384499,2553840,12.3552297716,85.0377875137,2,120,false,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U24_A1_P1,frozen_1h,,24,1,1,raw,0.173482454693,0.0412262946698,0.040388049694,4.10198179153,2628090,12.0061641725,84.9585158817,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U24_A1_P2,frozen_1h,,24,1,2,raw,0.173482454693,0.0459277974131,0.0448890788195,4.56977737685,2638980,11.956619603,84.5156078861,1,120,true,false,7.84209466758e-05,0.00470525680055,0.468169110877,fail,
session,session_U24_A1_P3,frozen_1h,,24,1,3,raw,0.173482454693,0.0416218849292,0.0407675877586,4.14134269102,2691630,11.7227404955,83.9549561884,1,120,true,false,9.9649817583e-05,0.00597898905498,0.594904403408,fail,
session,session_U24_A1_P4,frozen_1h,,24,1,4,raw,0.173482454693,0.044737659124,0.04375168805,4.45135961386,2757960,11.4408040726,83.978094195,1,120,true,false,9.9649817583e-05,0.00597898905498,0.594904403408,fail,
session,session_U24_A1_P5,frozen_1h,,24,1,5,raw,0.173482454693,0.0495749915541,0.0483662090364,4.93267013926,2738610,11.5216405403,83.9831599124,1,120,true,false,9.9649817583e-05,0.00597898905498,0.594904403408,fail,
session,session_U24_A1_P6,frozen_1h,,24,1,6,raw,0.173482454693,0.054061727843,0.0526263746335,5.37909664224,2736540,11.5303558508,84.1317086528,1,120,true,false,9.9649817583e-05,0.00597898905498,0.594904403408,fail,
session,session_U24_A1_P7,frozen_1h,,24,1,7,raw,0.173482454693,0.0576999923336,0.0560669078739,5.74110091192,2807190,11.2401654323,83.9210021906,1,120,true,false,9.9649817583e-05,0.00597898905498,0.594904403408,fail,
session,session_U24_A1_P8,frozen_1h,,24,1,8,raw,0.173482454693,0.0605819658069,0.058783381723,6.02785485878,2790000,11.3094193548,84.0613362541,1,120,true,false,9.9649817583e-05,0.00597898905498,0.594904403408,fail,
session,session_U24_A1_P9,frozen_1h,,24,1,9,raw,0.173482454693,0.0625484296082,0.0606324314914,6.22351636004,2756250,11.4479020408,83.9256571742,1,120,true,false,9.9649817583e-05,0.00597898905498,0.594904403408,fail,
session,session_U24_A1_P10,frozen_1h,,24,1,10,raw,0.173482454693,0.0642933510153,0.0622701248322,6.39713457863,2700180,11.6856209586,84.6903066813,1,120,true,false,9.9649817583e-05,0.00597898905498,0.594904403408,fail,
session,session_U24_A1_P11,frozen_1h,,24,1,11,raw,0.173482454693,0.0317368122451,0.0312384853018,3.15778623796,2660670,11.8591482596,85.3207831325,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U24_A1_P12,frozen_1h,,24,1,12,raw,0.173482454693,0.0271697834448,0.0268040050718,2.70337069734,2671560,11.8108071688,85.560788609,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U24_A1_P13,frozen_1h,,24,1,13,raw,0.173482454693,0.0284596996412,0.0280585370534,2.83171627854,2610450,12.0872952939,86.0368291347,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U24_A1_P14,frozen_1h,,24,1,14,raw,0.173482454693,0.0299942980049,0.02954893296,2.98440753046,2572380,12.2661815128,86.4937020811,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U24_A1_P15,frozen_1h,,24,1,15,raw,0.173482454693,0.0316657996348,0.0311696885752,3.15072054272,2566710,12.2932781654,86.9680996714,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U24_A1_P16,frozen_1h,,24,1,16,raw,0.173482454693,0.0334299774872,0.0328773707829,3.32625476149,2541600,12.4147308782,87.0317634173,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U24_A1_P17,frozen_1h,,24,1,17,raw,0.173482454693,0.0333157886738,0.032766929892,3.31489307019,2540250,12.4213286094,87.1009036145,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U24_A1_P18,frozen_1h,,24,1,18,raw,0.173482454693,0.0342265146078,0.0336474131328,3.40550953786,2566980,12.2919851343,86.8069550931,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U24_A1_P19,frozen_1h,,24,1,19,raw,0.173482454693,0.0332686389231,0.0327213240187,3.31020170948,2586510,12.1991718571,86.4034775465,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U24_A1_P20,frozen_1h,,24,1,20,raw,0.173482454693,0.0348538248958,0.0342534259535,3.46792638613,2646360,11.9232757448,86.0410733844,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U24_A1_P21,frozen_1h,,24,1,21,raw,0.173482454693,0.0368955485786,0.0362232020518,3.67107618257,2661570,11.8551381328,85.9404435926,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U24_A1_P22,frozen_1h,,24,1,22,raw,0.173482454693,0.0380922483975,0.0373758637387,3.79014681228,2606220,12.1069134609,85.6147316539,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U24_A1_P23,frozen_1h,,24,1,23,raw,0.173482454693,0.0393263309587,0.0385630886808,3.91293699354,2578230,12.2383495654,85.3065443593,2,120,false,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,
session,session_U24_A1_worst_phase,frozen_1h,,24,1,10,worst_phase,0.173482454693,0.0642933510153,0.0622701248322,6.39713457863,2700180,11.6856209586,84.6903066813,1,120,true,false,9.9649817583e-05,0.00597898905498,0.594904403408,fail,worst phase selected by risk_utilization; phase=10
session,session_U24_A1_median_phase,frozen_1h,,24,1,,median_phase,0.173482454693,0.0387092896781,0.0379694762097,3.85154190291,2642670,11.9399476739,85.3136637459,1,120,true,false,7.40518948145e-05,0.00222155684444,0.221043045408,fail,median across phases; verdict requires all phases to pass
